Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost
2019-20,1,Alavés,  ,2–1,1–1,0–5,2–0,2–1,0–0,0–0,0–2,1–1,1–0,2–0,0–1,1–1,1–2,2–0,0–1,1–1,3–0,1–2,,,16,38,10,9,19
2019-20,2,Athletic Bilbao,2–0,  ,1–1,1–0,1–1,0–0,3–0,0–2,2–0,0–2,2–1,3–1,0–1,1–0,0–1,2–0,1–2,0–1,1–1,1–0,,,11,38,13,12,13
2019-20,3,Atlético Madrid,2–1,2–0,  ,0–1,0–0,3–2,3–1,1–0,1–0,0–0,2–1,3–0,2–0,1–0,0–0,1–1,2–2,1–1,1–0,3–1,,,3,38,18,16,4
2019-20,4,Barcelona,4–1,1–0,2–2,  ,4–1,5–0,1–0,2–1,1–0,2–0,2–1,5–2,1–2,5–2,0–0,1–0,4–0,5–2,5–1,2–1,,,2,38,25,7,6
2019-20,5,Celta Vigo,6–0,1–0,1–1,2–2,  ,0–0,1–1,0–1,0–2,1–0,2–3,2–2,1–1,1–1,1–3,0–1,2–1,1–0,0–0,0–1,,,17,38,7,16,15
2019-20,6,Eibar,0–2,2–2,2–0,0–3,2–0,  ,1–2,0–1,3–0,0–0,3–0,1–2,0–2,1–1,0–4,1–2,3–2,1–0,3–1,2–1,,,14,38,11,9,18
2019-20,7,Espanyol,2–0,1–1,1–1,2–2,0–0,0–2,  ,1–1,0–3,0–1,1–3,1–0,2–4,2–2,0–1,1–3,0–2,1–2,0–2,0–1,,,20,38,5,10,23
2019-20,8,Getafe,1–1,1–1,0–2,0–2,0–0,1–1,0–0,  ,3–1,2–0,4–0,4–2,0–0,1–0,0–3,2–1,0–3,3–0,2–0,1–3,,,8,38,14,12,12
2019-20,9,Granada,3–0,4–0,1–1,2–0,0–0,1–2,2–1,2–1,  ,1–0,1–2,1–0,1–0,1–0,1–2,1–2,0–1,2–2,2–1,0–1,,,7,38,16,8,14
2019-20,10,Leganés,1–1,1–1,0–1,1–2,3–2,1–2,2–0,0–3,0–0,  ,1–2,1–0,0–1,0–0,2–2,2–1,0–3,1–0,1–2,0–3,,,18,38,8,12,18
2019-20,11,Levante,0–1,1–2,0–1,3–1,3–1,0–0,0–1,1–0,1–1,2–0,  ,2–1,1–1,4–2,1–0,1–1,1–1,2–4,2–0,2–1,,,12,38,14,7,17
2019-20,12,Mallorca,1–0,0–0,0–2,0–4,5–1,2–1,2–0,0–1,1–2,1–1,2–0,  ,2–2,1–2,1–0,0–1,0–2,4–1,0–1,3–1,,,19,38,9,6,23
2019-20,13,Osasuna,4–2,1–2,0–5,2–2,2–1,0–0,1–0,0–0,0–3,2–1,2–0,2–2,  ,0–0,1–4,3–4,1–1,3–1,0–0,2–1,,,10,38,13,13,12
2019-20,14,Real Betis,1–2,3–2,1–2,2–3,2–1,1–1,1–0,1–1,2–2,2–1,3–1,3–3,3–0,  ,2–1,3–0,1–2,2–1,1–2,0–2,,,15,38,10,11,17
2019-20,15,Real Madrid,2–0,0–0,1–0,2–0,2–2,3–1,2–0,1–0,4–2,5–0,3–2,2–0,2–0,0–0,  ,3–1,2–1,3–0,1–1,2–1,,,1,38,26,9,3
2019-20,16,Real Sociedad,3–0,2–1,2–0,2–2,0–1,4–1,2–1,1–2,2–3,1–1,1–2,3–0,1–1,3–1,1–2,  ,0–0,3–0,1–0,1–2,,,6,38,16,8,14
2019-20,17,Sevilla,1–1,1–1,1–1,0–0,1–1,1–0,2–2,2–0,2–0,1–0,1–0,2–0,3–2,2–0,0–1,3–2,  ,1–0,1–1,1–2,,,4,38,19,13,6
2019-20,18,Valencia,2–1,0–2,2–2,2–0,1–0,1–0,1–0,3–3,2–0,1–1,1–1,2–0,2–0,2–1,1–1,1–1,1–1,  ,2–1,2–1,,,9,38,14,11,13
2019-20,19,Valladolid,1–0,1–4,0–0,0–1,0–0,2–0,2–1,1–1,1–1,2–2,0–0,3–0,1–1,2–0,0–1,0–0,0–1,1–1,  ,1–1,,,13,38,9,15,14
